Graph Name,Num of Nodes,Num of Edges,Num of Critical Nodes,Num of Critical Edges
pair_14435_fast.js,14,26,7,6
pair_14435_slow.js,14,26,7,6
pair_14536_fast.js,10,18,5,4
pair_14536_slow.js,17,32,8,11
pair_14544_fast.js,4,6,4,4
pair_14544_slow.js,4,6,4,4
pair_14545_fast.js,13,24,6,5
pair_14545_slow.js,15,28,7,6
pair_14618_fast.js,28,54,9,8
pair_14618_slow.js,26,50,9,8
pair_14624_fast.js,14,26,7,7
pair_14624_slow.js,10,18,5,4
pair_14699_fast.js,16,30,8,7
pair_14699_slow.js,20,38,10,14
pair_14759_fast.js,15,28,7,6
pair_14759_slow.js,11,20,5,4
pair_14771_fast.js,19,36,9,9
pair_14771_slow.js,22,42,10,11
pair_14911_fast.js,13,24,6,5
pair_14911_slow.js,13,24,6,6
pair_14957_fast.js,17,32,8,10
pair_14957_slow.js,17,32,8,10
pair_14980_fast.js,23,44,9,8
pair_14980_slow.js,23,44,9,8
pair_15160_fast.js,24,46,12,14
pair_15160_slow.js,27,52,13,18
pair_15366_fast.js,18,34,9,12
pair_15366_slow.js,17,32,8,9
pair_15572_fast.js,17,32,8,7
pair_15572_slow.js,19,36,9,11
pair_15579_fast.js,5,8,5,6
pair_15579_slow.js,4,6,4,4
pair_1561_fast.js,14,26,7,7
pair_1561_slow.js,12,22,3,2
pair_15651_fast.js,5,8,5,6
pair_15651_slow.js,5,8,5,6
pair_15696_fast.js,19,36,9,10
pair_15696_slow.js,19,36,8,8
pair_15786_fast.js,13,24,6,5
pair_15786_slow.js,13,24,6,5
pair_1579_fast.js,18,34,9,8
pair_1579_slow.js,23,44,11,15
pair_1591_fast.js,15,28,7,8
pair_1591_slow.js,16,30,8,12
pair_15990_fast.js,23,44,7,6
pair_15990_slow.js,20,38,10,11
pair_15994_fast.js,16,30,5,4
pair_15994_slow.js,23,44,9,8
pair_16063_fast.js,13,24,6,5
pair_16063_slow.js,15,28,7,6
pair_16112_fast.js,10,18,5,5
pair_16112_slow.js,7,12,3,2
pair_16162_fast.js,8,14,4,3
pair_16162_slow.js,9,16,4,3
pair_16200_fast.js,19,36,9,11
pair_16200_slow.js,19,36,9,8
pair_16239_fast.js,20,38,9,9
pair_16239_slow.js,19,36,9,9
pair_16319_fast.js,9,16,4,3
pair_16319_slow.js,10,18,5,4
pair_16429_fast.js,8,14,4,3
pair_16429_slow.js,8,14,4,3
pair_16460_fast.js,18,34,9,8
pair_16460_slow.js,18,34,9,8
pair_16477_fast.js,14,26,7,8
pair_16477_slow.js,14,26,7,6
pair_16502_fast.js,15,28,7,7
pair_16502_slow.js,15,28,7,9
pair_16547_fast.js,13,24,6,5
pair_16547_slow.js,13,24,6,5
pair_16636_fast.js,14,26,7,7
pair_16636_slow.js,15,28,7,6
pair_16759_fast.js,13,24,6,6
pair_16759_slow.js,13,24,6,7
pair_16876_fast.js,12,22,6,6
pair_16876_slow.js,16,30,8,9
pair_16906_fast.js,11,20,5,4
pair_16906_slow.js,12,22,6,7
pair_16910_fast.js,24,46,12,16
pair_16910_slow.js,21,40,6,5
pair_16984_fast.js,20,38,10,12
pair_16984_slow.js,20,38,6,6
pair_17060_fast.js,19,36,4,4
pair_17060_slow.js,19,36,4,4
pair_1707_fast.js,20,38,10,12
