Graph Name,Num of Nodes,Num of Edges,Num of Critical Nodes,Num of Critical Edges
pair_4202_fast.js,14,26,7,7
pair_4202_slow.js,14,26,7,8
pair_4207_fast.js,14,26,7,8
pair_4207_slow.js,16,30,8,8
pair_4236_fast.js,20,38,10,12
pair_4236_slow.js,20,38,10,12
pair_4252_fast.js,17,32,5,4
pair_4252_slow.js,17,32,6,5
pair_4288_fast.js,25,48,12,14
pair_4288_slow.js,24,46,12,14
pair_4455_fast.js,22,42,4,3
pair_4455_slow.js,22,42,9,8
pair_4481_fast.js,18,34,9,11
pair_4481_slow.js,24,46,12,15
pair_4553_fast.js,18,34,9,10
pair_4553_slow.js,22,42,10,14
pair_4571_fast.js,14,26,7,9
pair_4571_slow.js,16,30,8,8
pair_4610_fast.js,17,32,8,10
pair_4610_slow.js,30,58,13,17
pair_4626_fast.js,14,26,7,7
pair_4626_slow.js,14,26,7,7
pair_4641_fast.js,28,54,14,19
pair_4641_slow.js,19,36,9,11
pair_473_fast.js,18,34,9,8
pair_473_slow.js,22,42,10,10
pair_4788_fast.js,21,40,7,10
pair_4788_slow.js,20,38,4,3
pair_4832_fast.js,17,32,8,8
pair_4832_slow.js,19,36,9,9
pair_48_fast.js,21,40,10,13
pair_48_slow.js,16,30,8,10
pair_4908_fast.js,19,36,9,10
pair_4908_slow.js,26,50,13,17
pair_4934_fast.js,17,32,8,11
pair_4934_slow.js,17,32,8,11
pair_5058_fast.js,13,24,6,7
pair_5058_slow.js,18,34,9,11
pair_5111_fast.js,21,40,10,11
pair_5111_slow.js,21,40,10,10
pair_5125_fast.js,9,16,4,3
pair_5125_slow.js,8,14,4,3
pair_5130_fast.js,22,42,11,12
pair_5130_slow.js,15,28,7,7
pair_5134_fast.js,27,52,13,17
pair_5134_slow.js,27,52,13,18
pair_5170_fast.js,17,32,8,10
pair_5170_slow.js,20,38,10,12
pair_517_fast.js,22,42,8,7
pair_517_slow.js,23,44,10,11
pair_5249_fast.js,21,40,10,12
pair_5249_slow.js,21,40,10,12
pair_5298_fast.js,14,26,7,7
pair_5298_slow.js,14,26,7,7
pair_5349_fast.js,16,30,8,9
pair_5349_slow.js,16,30,8,9
pair_5367_fast.js,20,38,10,13
pair_5367_slow.js,19,36,8,7
pair_5438_fast.js,18,34,9,12
pair_5438_slow.js,17,32,8,8
pair_5532_fast.js,18,34,9,11
pair_5532_slow.js,17,32,8,8
pair_5558_fast.js,10,18,5,5
pair_5558_slow.js,14,26,7,7
pair_5603_fast.js,16,30,8,8
pair_5603_slow.js,12,22,6,5
pair_5691_fast.js,17,32,8,10
pair_5691_slow.js,13,24,6,6
pair_5791_fast.js,14,26,7,9
pair_5791_slow.js,14,26,7,9
pair_5799_fast.js,17,32,6,5
pair_5799_slow.js,18,34,6,5
pair_5809_fast.js,20,38,6,5
pair_5809_slow.js,23,44,8,7
pair_5841_fast.js,16,30,8,7
pair_5841_slow.js,19,36,9,8
pair_5927_fast.js,30,58,10,12
pair_5927_slow.js,31,60,10,12
pair_598_fast.js,20,38,10,14
pair_598_slow.js,23,44,11,15
pair_5992_fast.js,17,32,8,7
pair_5992_slow.js,12,22,6,6
pair_6063_fast.js,16,30,8,7
pair_6063_slow.js,23,44,6,5
pair_6183_fast.js,20,38,10,11
pair_6183_slow.js,13,24,6,6
pair_623_fast.js,16,30,8,8
pair_623_slow.js,16,30,8,9
pair_6247_fast.js,27,52,13,16
pair_6247_slow.js,26,50,13,18
pair_6286_fast.js,26,50,13,19
pair_6286_slow.js,25,48,12,15
pair_630_fast.js,16,30,8,10
pair_630_slow.js,15,28,7,8
pair_6415_fast.js,9,16,4,3
pair_6415_slow.js,8,14,4,3
pair_6447_fast.js,17,32,8,8
pair_6447_slow.js,18,34,9,11
pair_6601_fast.js,14,26,7,8
pair_6601_slow.js,14,26,7,8
pair_6617_fast.js,25,48,6,5
pair_6617_slow.js,25,48,6,5
pair_6631_fast.js,18,34,9,9
pair_6631_slow.js,19,36,9,10
pair_664_fast.js,16,30,7,7
pair_664_slow.js,19,36,9,9
pair_6712_fast.js,8,14,4,3
pair_6712_slow.js,9,16,4,3
pair_6728_fast.js,17,32,8,7
pair_6728_slow.js,22,42,9,9
pair_6751_fast.js,14,26,6,5
pair_6751_slow.js,14,26,7,6
pair_6775_fast.js,12,22,6,7
pair_6775_slow.js,10,18,5,5
pair_6795_fast.js,25,48,6,5
pair_6795_slow.js,24,46,9,8
pair_6832_fast.js,14,26,7,6
pair_6832_slow.js,14,26,7,6
pair_6843_fast.js,12,22,6,8
pair_6843_slow.js,12,22,6,8
pair_6844_fast.js,8,14,4,3
pair_6844_slow.js,8,14,4,3
pair_6847_fast.js,17,32,8,10
pair_6847_slow.js,17,32,8,10
pair_6868_fast.js,17,32,8,10
pair_6868_slow.js,14,26,7,7
pair_6894_fast.js,12,22,6,8
pair_6894_slow.js,12,22,6,6
pair_6896_fast.js,27,52,9,10
pair_6896_slow.js,19,36,9,9
pair_6920_fast.js,7,12,2,1
pair_6920_slow.js,10,18,5,5
pair_6932_fast.js,12,22,6,5
pair_6932_slow.js,20,38,10,16
pair_6951_fast.js,11,20,5,5
pair_6951_slow.js,10,18,5,4
pair_6985_fast.js,21,40,3,2
pair_6985_slow.js,12,22,6,6
pair_7188_fast.js,13,24,6,5
pair_7188_slow.js,13,24,6,5
pair_71_fast.js,20,38,9,10
pair_71_slow.js,21,40,9,8
pair_7207_fast.js,13,24,6,8
pair_7207_slow.js,13,24,5,4
pair_7321_fast.js,15,29,7,6
pair_7321_slow.js,10,18,5,4
pair_7379_fast.js,24,46,12,16
pair_7379_slow.js,17,32,7,6
pair_7392_fast.js,12,22,6,5
pair_7392_slow.js,15,28,6,7
pair_7410_fast.js,16,30,7,7
pair_7410_slow.js,10,18,5,4
pair_7433_fast.js,16,30,7,8
pair_7433_slow.js,16,30,7,8
pair_7469_fast.js,13,24,6,8
pair_7469_slow.js,13,24,6,8
pair_7500_fast.js,22,42,11,15
pair_7500_slow.js,23,44,11,14
pair_7504_fast.js,19,36,7,8
pair_7504_slow.js,21,40,8,10
pair_7535_fast.js,18,34,9,9
pair_7535_slow.js,20,38,10,11
pair_7538_fast.js,16,30,8,10
pair_7538_slow.js,16,30,8,10
pair_7572_fast.js,16,30,7,6
pair_7572_slow.js,13,24,6,5
pair_7914_fast.js,9,16,4,4
pair_7914_slow.js,13,24,5,4
pair_7924_fast.js,25,48,12,13
pair_7924_slow.js,19,36,9,8
pair_7945_fast.js,24,46,12,16
pair_7945_slow.js,17,32,7,6
pair_7971_fast.js,14,26,7,8
pair_7971_slow.js,15,28,7,8
pair_7991_fast.js,13,24,6,5
pair_7991_slow.js,15,28,7,6
pair_8001_fast.js,13,24,6,5
pair_8001_slow.js,13,24,6,5
pair_8121_fast.js,12,22,6,6
pair_8121_slow.js,11,20,5,4
pair_8139_fast.js,27,52,13,17
pair_8139_slow.js,27,52,13,18
pair_815_fast.js,13,24,6,6
pair_815_slow.js,14,26,7,7
pair_8221_fast.js,16,30,8,9
pair_8221_slow.js,20,38,6,5
pair_8241_fast.js,11,20,5,5
pair_8241_slow.js,17,32,8,7
pair_8273_fast.js,11,20,5,5
pair_8273_slow.js,15,28,7,9
pair_831_fast.js,16,30,6,7
pair_831_slow.js,14,26,7,7
pair_8326_fast.js,31,60,15,19
pair_8326_slow.js,34,66,17,24
pair_8416_fast.js,12,22,6,6
pair_8416_slow.js,12,22,6,6
pair_8425_fast.js,8,14,4,3
pair_8425_slow.js,10,18,5,4
pair_8433_fast.js,18,34,9,10
pair_8433_slow.js,18,34,9,10
pair_8485_fast.js,18,34,9,10
pair_8485_slow.js,21,40,9,10
pair_849_fast.js,26,50,11,15
pair_849_slow.js,29,56,11,15
pair_8506_fast.js,9,16,4,4
pair_8506_slow.js,9,16,4,3
pair_8523_fast.js,24,46,12,16
pair_8523_slow.js,22,42,11,13
pair_8560_fast.js,15,28,7,6
pair_8560_slow.js,14,26,7,6
pair_859_fast.js,18,34,9,10
pair_859_slow.js,18,34,9,10
pair_8624_fast.js,12,22,6,6
pair_8624_slow.js,11,20,5,4
pair_8647_fast.js,6,10,4,3
pair_8647_slow.js,6,10,4,3
pair_8648_fast.js,25,48,12,17
pair_8648_slow.js,22,42,11,16
pair_8694_fast.js,11,20,5,5
pair_8694_slow.js,9,16,4,3
pair_8744_fast.js,25,48,9,8
pair_8744_slow.js,27,52,9,8
pair_8775_fast.js,18,34,9,8
pair_8775_slow.js,18,34,9,8
pair_8819_fast.js,7,12,3,2
pair_8819_slow.js,9,16,4,3
pair_8872_fast.js,15,28,7,6
pair_8872_slow.js,15,28,7,6
pair_890_fast.js,15,28,7,7
pair_890_slow.js,21,40,9,9
pair_8927_fast.js,10,18,5,4
pair_8927_slow.js,5,8,5,6
pair_8961_fast.js,14,26,7,7
pair_8961_slow.js,14,26,7,7
pair_9037_fast.js,12,22,6,8
pair_9037_slow.js,12,22,5,4
pair_9058_fast.js,19,36,9,11
pair_9058_slow.js,19,36,9,11
pair_9113_fast.js,10,18,5,4
pair_9113_slow.js,13,24,6,6
pair_9231_fast.js,15,28,7,8
pair_9231_slow.js,14,26,7,7
pair_9236_fast.js,9,16,4,3
pair_9236_slow.js,12,22,6,6
pair_9264_fast.js,20,38,6,6
pair_9264_slow.js,15,28,7,8
pair_9286_fast.js,7,12,3,2
pair_9286_slow.js,9,16,4,3
pair_9315_fast.js,10,18,5,5
pair_9315_slow.js,11,20,5,5
pair_936_fast.js,24,46,12,15
pair_936_slow.js,23,44,11,12
pair_9372_fast.js,11,20,5,4
pair_9372_slow.js,11,20,5,4
pair_9476_fast.js,13,24,6,5
pair_9476_slow.js,16,30,8,9
pair_9521_fast.js,11,20,5,5
pair_9521_slow.js,11,20,5,5
pair_9574_fast.js,22,42,11,15
pair_9574_slow.js,22,42,11,13
pair_971_fast.js,15,28,7,8
pair_971_slow.js,19,36,9,10
pair_9773_fast.js,12,22,6,7
pair_9773_slow.js,18,34,9,11
pair_9816_fast.js,14,26,7,9
pair_9816_slow.js,15,28,7,8
pair_9889_fast.js,8,14,4,5
pair_9889_slow.js,6,10,5,6
pair_9901_fast.js,12,22,6,6
pair_9901_slow.js,16,30,8,8
pair_9972_fast.js,5,8,5,6
pair_9972_slow.js,10,18,5,4
